date_vente;Id_point_de_vente;Id_produit;Quantite
24/05/2014;23;6;4
31/10/2014;17;101;2
29/12/2015;23;102;3
17/08/2015;25;103;8
24/04/2014;13;104;1
16/11/2015;24;105;2
02/02/2016;16;201;3
22/12/2014;12;202;4
08/10/2015;19;203;4
09/10/2015;15;204;4
29/07/2014;24;1;5
27/05/2014;23;2;5
05/05/2014;23;3;2
21/04/2015;17;4;2
29/03/2015;10;5;1
04/04/2014;23;6;1
07/10/2015;24;101;1
03/12/2015;21;102;1
16/08/2015;18;103;3
09/02/2016;18;104;4
22/05/2014;25;105;2
21/01/2014;22;201;1
18/02/2014;14;202;1
20/03/2015;24;203;1
09/03/2015;13;204;2
24/05/2014;18;104;3
22/07/2014;16;105;5
15/06/2014;18;201;2
08/01/2016;19;202;3
21/06/2015;14;2;5
30/06/2014;16;3;6
17/02/2016;10;4;4
11/01/2015;17;4;2
28/07/2015;24;5;3
05/08/2015;22;6;8
08/03/2014;11;4;1
24/03/2014;12;2;2
02/05/2014;14;3;3
02/03/2014;25;5;4
10/10/2014;21;6;4
30/07/2015;22;2;4
12/01/2014;10;4;5
03/07/2015;24;3;5
14/11/2014;17;203;2
18/06/2015;22;204;2
02/12/2015;19;104;1
16/08/2014;25;203;1
28/11/2015;14;204;1
13/02/2014;10;104;1
10/07/2015;25;203;3
12/07/2015;12;204;4
01/02/2014;19;104;2
23/02/2016;10;203;1
22/09/2015;23;204;1
05/03/2014;15;104;1
23/09/2015;14;202;2
12/06/2015;23;203;3
28/09/2015;12;202;5
25/01/2014;24;203;2
09/03/2014;22;1;3
30/03/2015;13;2;5
21/02/2014;12;3;6
11/01/2014;15;4;4
26/04/2015;16;5;2
19/04/2014;15;6;3
11/01/2016;16;101;8
15/10/2015;21;102;1
11/06/2014;18;103;2
07/09/2015;15;104;3
02/08/2015;20;105;4
20/03/2014;15;201;4
16/11/2015;19;202;4
27/03/2014;16;203;5
19/05/2015;19;204;5
13/02/2016;21;1;2
20/08/2015;11;2;2
27/04/2015;14;3;1
12/06/2015;23;4;1
18/05/2015;17;5;1
11/03/2014;10;6;1
07/01/2015;18;101;3
26/06/2015;14;102;4
10/02/2014;20;103;2
28/04/2014;13;104;1
01/03/2014;21;105;1
28/06/2014;10;201;1
17/04/2015;20;202;2
02/08/2014;10;203;3
06/03/2015;15;204;5
23/08/2015;11;104;2
29/09/2015;13;105;3
02/11/2015;22;201;5
22/01/2016;19;202;6
04/12/2015;23;2;4
16/02/2014;21;3;2
26/02/2014;17;4;3
10/11/2014;20;4;8
03/04/2015;10;5;1
08/01/2014;24;6;2
19/07/2014;14;4;3
17/04/2015;23;2;4
25/12/2014;14;3;4
09/11/2015;13;5;4
10/04/2015;16;6;5
26/02/2016;14;2;5
04/10/2014;14;4;2
30/03/2014;12;3;2
30/10/2015;13;203;1
19/09/2014;25;204;1
28/03/2014;11;104;1
02/01/2015;20;203;1
27/01/2014;16;204;3
10/11/2015;14;104;4
07/08/2014;17;203;2
25/09/2015;19;204;1
28/03/2014;20;104;1
10/09/2015;14;203;1
16/12/2014;15;204;2
15/10/2014;25;104;3
04/08/2015;20;202;5
27/10/2014;21;203;2
31/01/2016;12;202;3
28/04/2015;20;203;5
18/03/2015;15;1;6
15/01/2016;12;2;4
31/03/2015;15;3;2
22/12/2014;17;4;3
15/09/2015;13;5;8
15/12/2015;18;6;1
16/01/2016;12;101;2
09/12/2015;24;102;3
01/04/2014;10;103;4
29/01/2015;10;104;4
14/08/2014;12;105;4
29/03/2015;11;201;5
06/05/2014;14;202;5
16/10/2014;13;203;2
12/01/2015;22;204;2
22/12/2015;14;1;1
11/02/2014;21;2;1
13/11/2014;19;3;1
03/12/2015;14;4;1
10/06/2015;25;5;3
02/02/2016;14;6;4
09/10/2014;21;101;2
16/10/2015;18;102;1
08/04/2014;19;103;1
01/08/2015;12;104;1
14/09/2014;14;105;2
17/05/2015;23;201;3
28/09/2015;17;202;5
05/10/2015;25;203;2
28/06/2015;12;204;3
06/08/2014;24;104;5
01/01/2016;20;105;6
28/11/2014;14;201;4
25/06/2015;20;202;2
10/02/2015;25;2;3
08/02/2014;16;3;8
03/07/2015;20;4;1
19/09/2014;19;4;2
05/03/2015;19;5;3
13/06/2014;24;6;4
21/01/2015;24;4;4
31/12/2015;11;2;4
29/04/2015;24;3;5
31/10/2015;13;5;5
14/03/2016;19;6;2
16/05/2014;21;2;2
17/01/2015;24;4;1
04/06/2015;22;3;1
20/04/2014;25;203;1
13/10/2015;21;204;1
27/10/2015;16;104;3
02/10/2015;22;203;4
10/01/2014;23;204;2
21/12/2014;20;104;1
16/06/2014;12;203;1
13/01/2014;21;204;1
08/05/2015;12;104;2
08/08/2015;16;203;3
29/01/2015;22;204;5
25/11/2014;10;104;2
10/06/2015;13;202;3
21/01/2014;22;203;5
11/03/2014;16;202;6
17/02/2016;22;203;4
18/04/2015;21;1;2
09/09/2015;11;2;3
30/12/2015;23;3;8
30/09/2015;18;4;1
16/10/2015;25;5;2
15/05/2014;24;6;3
08/03/2016;14;101;4
21/08/2014;11;102;4
18/12/2015;14;103;4
16/07/2014;21;104;5
13/01/2015;22;105;5
17/12/2015;13;201;2
03/12/2014;12;202;2
31/10/2015;21;203;1
19/08/2015;13;204;1
22/06/2015;18;1;1
20/03/2014;12;2;1
04/02/2014;14;3;3
02/08/2014;19;4;4
29/01/2016;23;5;2
13/02/2014;16;6;1
21/09/2014;22;101;1
05/02/2014;15;102;1
28/04/2014;17;103;2
13/08/2014;19;104;3
25/05/2014;22;105;5
10/07/2015;18;201;2
09/12/2014;20;202;3
16/01/2016;20;203;5
27/12/2015;20;204;6
04/01/2016;25;104;4
04/11/2014;10;105;2
26/02/2015;23;201;3
16/06/2014;13;202;8
06/03/2015;12;2;1
22/07/2015;16;3;2
26/04/2014;17;4;3
18/05/2014;17;4;4
16/04/2014;11;5;4
14/07/2014;21;6;4
30/10/2015;16;4;5
22/11/2015;19;2;5
17/05/2014;10;3;2
27/12/2014;19;5;2
17/09/2014;19;6;1
02/09/2014;10;2;1
26/07/2014;22;4;1
22/06/2014;18;3;1
28/05/2015;15;203;3
22/06/2015;19;204;4
17/10/2015;24;104;2
31/01/2016;16;203;1
20/07/2015;19;204;1
26/10/2015;11;104;1
13/03/2016;18;203;2
07/07/2014;11;204;3
05/01/2015;16;104;5
04/06/2015;17;203;2
16/01/2014;12;204;3
14/03/2015;25;104;5
21/03/2014;17;202;6
22/07/2015;21;203;4
15/02/2014;19;202;2
14/03/2016;17;203;3
10/07/2015;18;1;8
24/02/2015;10;2;1
08/10/2015;14;3;2
28/12/2015;12;4;3
01/05/2015;17;5;4
23/12/2015;12;6;4
01/11/2015;16;101;4
27/11/2014;19;102;5
15/09/2014;10;103;5
17/08/2014;18;104;2
27/08/2015;12;105;2
01/10/2015;20;201;1
27/05/2014;20;202;1
12/01/2016;25;203;1
15/09/2015;17;204;1
02/11/2014;19;1;3
12/09/2014;19;2;4
08/03/2014;19;3;2
29/07/2015;17;4;1
12/04/2015;15;5;1
12/08/2015;20;6;1
14/10/2014;13;101;2
25/10/2014;25;102;3
25/01/2015;14;103;5
26/12/2015;14;104;2
02/08/2015;13;105;3
09/04/2014;23;201;5
20/11/2015;21;202;6
13/07/2015;22;203;4
04/04/2014;13;204;2
08/05/2015;21;104;3
10/09/2015;18;105;8
05/05/2015;17;201;1
11/10/2015;15;202;2
20/09/2015;15;2;3
06/03/2014;13;3;4
10/05/2015;24;4;4
08/06/2014;20;4;4
01/04/2014;18;5;5
11/09/2014;19;6;5
17/12/2014;13;4;2
02/06/2014;15;2;2
08/08/2015;14;3;1
29/06/2014;23;5;1
02/09/2014;20;6;1
16/03/2014;11;2;1
18/02/2016;14;4;3
19/01/2014;15;3;4
06/07/2014;24;203;2
02/01/2015;16;204;1
23/02/2015;19;104;1
13/11/2015;24;203;1
18/03/2015;12;204;2
29/04/2015;16;104;3
16/03/2014;23;203;5
19/03/2014;21;204;2
26/09/2014;12;104;3
14/08/2014;17;203;5
01/05/2014;25;204;6
31/01/2016;23;104;4
02/05/2015;16;202;2
15/02/2015;14;203;3
21/04/2015;14;202;8
22/05/2014;20;203;1
06/05/2015;25;1;2
07/05/2014;22;2;3
31/01/2014;21;3;4
18/05/2015;21;4;4
18/05/2014;14;5;4
20/01/2014;23;6;5
26/07/2014;22;101;5
09/03/2016;20;102;2
08/05/2014;21;103;2
16/09/2015;24;104;1
17/01/2016;24;105;1
11/02/2015;22;201;1
27/01/2016;18;202;1
19/01/2014;21;203;3
12/10/2015;18;204;4
29/12/2015;19;1;2
25/12/2015;22;2;1
10/11/2015;19;3;1
02/03/2015;10;4;1
20/01/2015;22;5;2
08/01/2015;19;6;3
03/09/2015;23;101;5
07/04/2014;16;102;2
23/07/2014;11;103;3
15/08/2014;18;104;5
21/12/2015;16;105;6
29/07/2014;20;201;4
22/08/2015;20;202;2
31/08/2014;14;203;3
03/11/2015;10;204;8
17/02/2016;10;104;1
17/12/2015;25;105;2
26/01/2016;19;201;3
18/05/2015;12;202;4
31/10/2015;18;2;4
16/11/2015;19;3;4
27/02/2015;10;4;5
11/09/2015;10;4;5
07/11/2015;10;5;2
21/05/2014;18;6;2
19/05/2015;13;4;1
31/01/2014;14;2;1
11/05/2015;11;3;1
31/05/2015;25;5;1
08/07/2015;15;6;3
12/05/2015;20;2;4
26/09/2014;12;4;2
15/09/2015;10;3;1
04/11/2015;12;203;1
17/12/2014;14;204;1
28/05/2015;12;104;2
30/10/2015;11;203;3
30/06/2015;16;204;5
10/01/2014;11;104;2
05/11/2014;25;203;3
30/01/2014;13;204;5
07/10/2014;15;104;6
03/11/2014;19;203;4
03/05/2015;12;204;2
28/06/2015;22;104;3
02/05/2015;15;202;8
10/02/2015;14;203;1
22/03/2015;22;202;2
11/02/2014;21;203;3
18/11/2015;21;1;4
07/06/2015;18;2;4
29/03/2014;21;3;4
21/01/2016;16;4;5
04/07/2014;21;5;5
31/12/2014;22;6;2
13/02/2015;16;101;2
29/03/2014;19;102;1
31/01/2016;21;103;1
15/03/2015;21;104;1
05/12/2014;16;105;1
05/10/2015;19;201;3
19/11/2014;21;202;4
20/06/2015;22;203;2
22/02/2016;11;204;1
08/02/2016;25;1;1
04/01/2014;13;2;1
17/04/2015;16;3;2
05/04/2015;23;4;3
02/10/2014;14;5;5
09/02/2015;24;6;2
16/12/2015;23;101;3
02/12/2014;18;102;5
23/09/2015;13;103;6
03/03/2016;17;104;4
28/10/2014;15;105;2
13/03/2014;16;201;3
01/02/2015;24;202;8
22/04/2015;15;203;1
28/08/2014;23;204;2
15/03/2014;16;104;3
29/03/2015;24;105;4
17/08/2015;11;201;4
21/07/2014;14;202;4
19/04/2014;12;2;5
16/02/2014;13;3;5
19/04/2015;14;4;2
21/09/2014;24;4;2
30/09/2014;20;5;1
08/02/2015;19;6;1
30/08/2015;11;4;1
08/12/2015;13;2;1
19/04/2014;25;3;3
07/01/2014;11;5;4
27/07/2014;18;6;2
22/01/2016;24;2;1
11/03/2015;21;4;1
20/02/2015;16;3;1
06/03/2015;16;203;2
27/06/2015;14;204;3
04/01/2015;19;104;5
04/01/2015;25;203;2
19/05/2014;15;204;3
20/07/2014;13;104;5
01/01/2015;24;203;6
30/01/2016;10;204;4
19/08/2014;19;104;2
25/02/2016;11;203;3
29/08/2014;18;204;8
31/07/2015;13;104;1
09/07/2015;24;202;2
13/12/2015;10;203;3
17/09/2014;12;202;4
29/01/2015;12;203;4
21/09/2015;25;1;4
21/01/2015;24;2;5
03/05/2015;24;3;5
20/09/2014;12;4;2
03/07/2014;17;5;2
26/06/2014;20;6;1
15/09/2014;13;101;1
09/09/2015;25;102;1
27/02/2014;10;103;1
30/01/2014;14;104;3
07/04/2014;24;105;4
07/07/2014;14;201;2
31/10/2014;14;202;1
23/09/2015;25;203;1
14/07/2014;25;204;1
23/09/2015;19;1;2
02/11/2014;22;2;3
20/10/2015;20;3;5
30/07/2014;22;4;2
22/11/2014;18;5;3
13/11/2015;11;6;5
06/01/2014;18;101;6
10/11/2015;15;102;4
30/01/2014;10;103;2
15/02/2016;13;104;3
29/10/2015;18;105;8
09/05/2015;23;201;1
28/10/2015;21;202;2
03/08/2015;11;203;3
22/01/2014;15;204;4
01/07/2015;23;104;4
09/09/2014;15;105;4
14/03/2016;12;201;5
06/11/2014;12;202;5
09/02/2015;23;2;2
06/08/2014;24;3;2
08/08/2014;23;4;1
19/08/2014;16;4;1
31/01/2015;17;5;1
06/08/2015;19;6;1
11/01/2014;13;4;3
02/01/2016;20;2;4
15/08/2015;16;3;2
06/05/2014;10;5;1
24/01/2015;21;6;1
20/08/2014;22;2;1
25/03/2014;11;4;2
05/04/2015;21;3;3
31/01/2015;14;203;5
06/10/2014;18;204;2
23/11/2015;17;104;3
09/08/2014;24;203;5
17/10/2014;24;204;6
09/01/2016;13;104;4
26/09/2014;17;203;2
07/03/2016;24;204;3
18/07/2015;22;104;8
20/02/2014;12;203;1
07/05/2014;21;204;2
12/03/2015;16;104;3
26/08/2015;18;202;4
30/12/2014;16;203;4
05/12/2015;23;202;4
16/11/2014;15;203;5
02/12/2014;15;1;5
04/11/2014;15;2;2
13/01/2016;24;3;2
20/02/2014;23;4;1
15/01/2016;14;5;1
22/07/2015;19;6;1
12/01/2014;15;101;1
21/02/2014;24;102;3
31/03/2014;25;103;4
21/01/2015;23;104;2
08/10/2015;23;105;1
29/01/2014;13;201;1
23/03/2015;20;202;1
08/08/2015;18;203;2
18/12/2015;20;204;3
13/08/2015;17;1;5
23/04/2014;25;2;2
09/06/2014;25;3;3
21/06/2015;11;4;5
04/10/2015;17;5;6
27/08/2014;20;6;4
16/07/2014;11;101;2
04/11/2015;11;102;3
30/12/2015;21;103;8
28/02/2015;10;104;1
17/03/2014;25;105;2
01/02/2016;19;201;3
18/01/2015;24;202;4
11/07/2014;15;203;4
05/07/2015;13;204;4
18/01/2015;22;104;5
14/05/2014;21;105;5
20/12/2014;20;201;2
01/10/2015;24;202;2
13/01/2014;14;2;1
08/07/2015;23;3;1
14/04/2014;17;4;1
31/03/2014;16;4;1
10/11/2015;20;5;3
20/06/2015;23;6;4
05/02/2015;19;4;2
21/02/2015;16;2;1
23/03/2015;20;3;1
24/01/2016;17;5;1
25/08/2014;22;6;2
18/10/2015;15;2;3
02/01/2014;18;4;5
24/02/2014;14;3;2
25/06/2015;19;203;3
10/10/2014;22;204;5
09/05/2015;12;104;6
01/12/2014;18;203;4
26/01/2015;24;204;2
20/08/2014;24;104;3
14/08/2015;20;203;8
12/05/2014;12;204;1
07/10/2015;16;104;2
12/10/2014;21;203;3
17/01/2015;22;204;4
02/01/2014;10;104;4
26/06/2014;15;202;4
31/10/2015;11;203;5
25/05/2014;14;202;5
25/03/2014;14;203;2
20/02/2015;12;1;2
31/12/2014;14;2;1
28/06/2014;25;3;1
15/08/2015;20;4;1
27/11/2014;11;5;1
18/07/2015;24;6;3
02/04/2014;15;101;4
28/04/2015;19;102;2
13/09/2015;21;103;1
28/12/2015;13;104;1
28/09/2015;22;105;1
18/02/2016;20;201;2
28/09/2015;15;202;3
08/07/2015;19;203;5
15/09/2015;21;204;2
30/03/2015;12;1;3
12/04/2014;10;2;5
04/08/2014;21;3;6
17/10/2015;13;4;4
17/01/2015;11;5;2
22/05/2015;25;6;3
29/07/2014;20;101;8
27/04/2014;21;102;1
14/02/2015;20;103;2
10/10/2015;18;104;3
16/12/2015;21;105;4
11/06/2015;22;201;4
09/11/2015;13;202;4
03/08/2014;25;203;5
28/05/2015;23;204;5
20/04/2015;22;104;2
27/09/2014;25;105;2
29/06/2014;25;201;1
29/07/2014;10;202;1
21/08/2014;19;2;1
18/01/2015;15;3;1
14/01/2014;20;4;3
08/06/2014;19;4;4
24/04/2015;11;5;2
27/02/2015;17;6;1
03/07/2014;13;4;1
18/11/2015;16;2;1
21/04/2015;23;3;2
18/05/2014;10;5;3
20/03/2015;11;6;5
15/01/2015;22;2;2
10/01/2016;20;4;3
27/11/2015;20;3;5
08/12/2014;24;203;6
29/04/2014;25;204;4
26/02/2014;20;104;2
01/01/2015;13;203;3
24/01/2014;11;204;8
19/02/2016;14;104;1
20/03/2015;18;203;2
24/03/2014;12;204;3
14/03/2015;21;104;4
12/12/2015;19;203;4
31/07/2014;13;204;4
28/03/2015;14;104;5
13/06/2015;10;202;5
07/04/2014;18;203;2
05/03/2016;24;202;2
27/10/2014;16;203;1
07/11/2015;23;1;1
03/07/2015;15;2;1
04/07/2015;20;3;1
23/01/2015;18;4;3
23/11/2015;18;5;4
09/12/2015;18;6;2
06/04/2015;14;101;1
31/01/2014;15;102;1
11/09/2014;22;103;1
07/09/2014;13;104;2
13/09/2014;10;105;3
10/11/2015;21;201;5
06/02/2014;20;202;2
20/06/2014;16;203;3
25/04/2015;22;204;5
06/03/2014;11;1;6
29/04/2014;23;2;4
27/09/2015;11;3;2
19/08/2014;15;4;3
18/12/2014;23;5;8
28/04/2015;11;6;1
20/10/2015;10;101;2
18/06/2014;12;102;3
10/09/2015;15;103;4
14/02/2015;12;104;4
04/07/2014;23;105;4
01/08/2015;10;201;5
25/08/2015;25;202;5
19/07/2015;21;203;2
30/08/2015;14;204;2
02/08/2014;19;104;1
12/09/2014;22;105;1
04/06/2015;12;201;1
23/03/2014;12;202;1
22/10/2014;10;2;3
22/05/2015;18;3;4
27/10/2015;15;4;2
06/06/2015;22;4;1
15/01/2015;19;5;1
05/10/2015;19;6;1
28/04/2015;17;4;2
29/06/2014;21;2;3
31/08/2014;22;3;5
19/01/2015;14;5;2
26/01/2014;22;6;3
20/11/2014;10;2;5
08/09/2015;17;4;6
07/05/2014;18;3;4
